id,Baggage_handling,Online_boarding,On-board_service,Flight_Distance,Customer_Type,Seat_comfort,Departure/Arrival_time_convenient,Checkin_service,Arrival_Delay_in_Minutes,Class,Gender,Age,Online_support,Inflight_entertainment,id,Food_and_drink,Type_of_Travel,Ease_of_Online_booking,Inflight_wifi_service,Leg_room_service,satisfaction,Gate_location,Cleanliness,Departure_Delay_in_Minutes,shapley_spaces_2,shapley_spaces_3,shapley_spaces_1,seat_confort_4,shapley_spaces_4,shapley_spaces_0,prediction,confidence
0003d1d8-7565-4d34-8bc5-122a5e8a3ce4,4,1,3,1252,"Loyal Customer",1,2,4,0.0,"Eco","Male",24,1,1,"12bf5893-06ed-4f43-a60f-db6ae7dbdce7",2,"Business travel",1,1,5,0,2,3,0,,,,,,,0,1.0
00070731-e738-4d18-8f12-d78ca04be11d,4,3,3,2010,"Loyal Customer",1,5,4,9.0,"Eco","Male",16,3,1,"04328d8a-69ac-4150-995f-943338c0e610",1,"Personal Travel",3,3,3,0,3,5,0,,,,,,,0,1.0
00075f7d-844e-472c-96d3-e8035b6b9ba2,5,5,5,2736,"Loyal Customer",1,5,4,24.0,"Eco","Male",38,5,1,"981d0a22-870f-42f8-87f2-1af02c8d14a3",1,"Personal Travel",5,5,5,0,3,4,0,,,,,,,0,1.0
000ac50a-aa51-4916-9b7b-ba965879af6f,4,1,4,2450,"Loyal Customer",3,4,4,0.0,"Eco","Male",67,1,3,"fb6c6a29-ccee-4512-8347-ea1aba279adc",3,"Personal Travel",1,1,3,0,4,4,10,,,,,,,0,1.0
000f2895-4c58-4e32-a448-805a53db120d,4,5,4,1912,"Loyal Customer",4,4,5,0.0,"Business","Male",23,5,5,"bbc43891-d139-4aa1-a860-1127277e2b64",4,"Business travel",5,5,3,1,4,5,0,,,,,,,1,1.0
00175246-259c-4669-828f-5cbe2d5acea5,3,1,3,1613,"disloyal Customer",4,3,3,20.0,"Eco","Female",43,1,5,"445d99a7-bc6c-4d90-a280-ac5410da2f83",5,"Business travel",1,1,5,0,3,4,12,,,,,,,0,0.89
001a6829-b944-4a9c-bccd-80892d3c6fa3,4,3,4,2397,"Loyal Customer",3,3,4,16.0,"Business","Male",45,5,5,"cef79024-fcb9-49e6-9af7-7299f0104340",3,"Business travel",4,5,4,1,3,4,6,,,,,,,1,1.0
00200fb0-ec96-41db-9cc9-f7311fb88501,4,3,4,3315,"Loyal Customer",0,0,3,0.0,"Business","Male",58,5,5,"30236d45-5ab1-458a-ad85-58f4f4b197b7",0,"Business travel",4,2,4,1,2,4,0,,,,,,,1,1.0
002a3ee9-9e0a-4b79-9630-738782a34353,4,4,4,2701,"Loyal Customer",3,3,5,0.0,"Business","Female",45,4,4,"76a7b97d-8ccf-40aa-a447-fce685566d74",3,"Business travel",4,2,4,1,3,4,0,,,,,,,1,1.0
003198c2-eba4-40d7-b551-4b9840f0469a,4,3,4,592,"Loyal Customer",5,5,5,0.0,"Business","Male",49,4,4,"1cad44ed-c215-4b7c-b4bd-8544b65bdd43",4,"Business travel",4,4,5,1,5,4,9,,,,,,,1,1.0
0034f3f2-4da5-4427-8c9f-c647ada49b62,3,5,3,616,"Loyal Customer",5,5,5,0.0,"Business","Male",59,5,4,"297e8bb8-da56-4e8a-8255-c3b14dbc87bc",5,"Business travel",3,4,4,1,5,3,0,,,,,,,1,1.0
0036330a-c432-4d4f-8c03-a4d5b01aed60,5,5,2,1911,"Loyal Customer",5,5,4,4.0,"Eco","Male",23,4,5,"56f42875-1217-4a8c-9f1c-a9c1aa7395aa",2,"Business travel",5,5,2,1,2,1,0,,,,,,,1,1.0
